Processing		Love2D		Comparison
percent()	Get current sound file playback position in percent.	Source:tell() + Source:duration()	Source:tell() returns how many seconds into the audiosample is the playback. Hence, an percent() implementation is just source:tell()/duration()	Needs Love2D Implementation
playFor()	Starts the playback of the audiosample for the specified duration or to the end of the audiosample, whichever comes first.	love.timer() + Source:stop()	Maybe use love.timer() with Source:stop to emulate?	Needs Love2D Implementation
play()		Source:play()		Direct Wrap
positionFrame()		Source:tell() 	Frame version of percent()	Needs Love2D Implementation
position()		Source:tell()		Direct Wrap
rate()		Source:pitch()		Direct Wrap
read()		SoundData:getSample()		Direct Wrap
resize()		?	I haven't figured out a clean way to resize the AudioSample other than reconstructing it everytime?	External Libraries/More Complex
sampleRate()		SoundData:getSampleRate()		Direct Wrap
set()	Set multiple parameters at once.	Wrapper Function	There's no direct set() function in Love2D but set should be fairly straightforward to implement since it's basically a wrapper function	Needs Love2D Implementation
stop()		Source:stop()		Direct Wrap
write()		SoundData:setSample()		Direct Wrap
SoundFile				
amp()		Source:setVolume()		Direct Wrap
channels()		SoundData:getChannelCount()		Direct Wrap
cue()		Source:seek()	Note: source:seek() sets the currently playing position of the Source. With the queueable source type, this method can only work on the currently playing buffer.	Needs Love2D Implementation
duration()		Source:getDuration()		Direct Wrap
frames()		Source:getDuration()	same problem as frames() for AudioSample	Needs Love2D Implementation
isPlaying()		Source:isPlaying()		Direct Wrap
jump()		Source:seek()	Same note as cue() and AudioSample	Direct Wrap
loop()		Source:setLooping(true) + Source:play()	Similar implementation as above	Needs Love2D Implementation
pan()		Source:setPosition()	Similar implementation as above	Direct Wrap
pause()		Source:pause()		Direct Wrap
play()		Source:play()		Direct Wrap
rate()		Source:pitch()		Direct Wrap
removeFromCache()		removeFromCache()	Might have to implement our own removeFromCache(). I feel like it should be fairly easy? Just set the soundfile instance to nil and collectgarbage("collect") ?	Needs Lua Implementation
Noise & Oscillators				
Noise	Brown, Pink and WhiteNoise with amp(), pan(), play(), set(), stop()	Custom Love2D implementation 	While there are no built-in waveform generators. we can recreate these by generating sample data manually. For example, fill a SoundData buffer with samples of sin(2πft) like in this example https://gist.github.com/lee2sman/e18b9bfd7e8c2eeb279ceca76e74a3b5 or random Data for different noises	Needs Love2D Implementation
Oscillators	Pulse, SawOsc, SinOsc, SqrOsc, TriOsc with amp(), freq(), pan(), play(), set(), stop()	Custom Love2D implementation	Mentioned above	Needs Love2D Implementation
Envelopes				
Env		Custom Love2D Implementation	There is also no Native Love2d Envelope, but I imagine one would implement it in L5 by modulating :setVolume() of a Source over time (e.g. using a table of values and a timer). This is straightforward in Lua. Essentially, L5sound’s Env.play() could start a coroutine or use LOVE’s timer to ramp volume.	Needs Love2D Implementation
play()				Needs Love2D Implementation
Configuration				
Sound				
inputDevice()		love.audio.getRecordingDevices()		Direct Wrap
list()			easily implemented for recording using love.audio.getRecordingDevices() but currently not supported for playback()	Needs Lua Implementation
outputDevice()			Implemented in Love2D 12.0 but haven't been officially released yet	Needs Lua Implementation
sampleRate()		love.audio.getSampleRate()		Direct Wrap
status()			no direct support in Love2D but lua has collectgarbage("count")	Needs Lua Implementation
volume()		love.audio.setVolume()		Direct Wrap
